age,job,education,balance,contact,deposit
74,admin.,tertiary,2206.97,cellular,no
64,housemaid,tertiary,2043.53,telephone,yes
52,technician,primary,333.05,cellular,no
36,retired,primary,2046.66,cellular,yes
25,student,secondary,3037.31,cellular,no
43,entrepreneur,unknown,664.95,cellular,no
88,self-employed,secondary,3047.09,cellular,no
47,services,tertiary,2522.62,unknown,no
24,admin.,tertiary,1483.61,cellular,no
84,technician,primary,1588.65,unknown,no
82,management,secondary,3523.44,unknown,yes
53,blue-collar,tertiary,1340.32,cellular,yes
42,technician,primary,617.42,unknown,no
54,blue-collar,tertiary,2990.95,unknown,yes
18,services,tertiary,1625.08,cellular,yes
32,services,secondary,1636.24,cellular,yes
54,blue-collar,secondary,2272.15,cellular,no
30,management,unknown,1647.7,unknown,no
25,blue-collar,tertiary,3995.35,cellular,no
22,technician,tertiary,3432.1,cellular,yes
77,blue-collar,secondary,1367.58,cellular,yes
90,admin.,secondary,1554.23,cellular,yes
18,technician,secondary,1271.6,cellular,yes
53,blue-collar,secondary,2729.44,cellular,yes
52,unemployed,secondary,1454.26,cellular,no
83,technician,secondary,1239.64,cellular,no
80,services,tertiary,804.13,cellular,no
40,management,tertiary,1160.07,cellular,yes
26,technician,secondary,2940.82,unknown,yes
51,blue-collar,tertiary,160.23,cellular,no
63,blue-collar,primary,1449.8,cellular,yes
21,technician,secondary,1271.15,cellular,no
47,management,primary,463.95,unknown,no
92,blue-collar,primary,2992.13,cellular,yes
89,services,secondary,720.69,cellular,no
20,retired,secondary,294.07,unknown,no
31,admin.,secondary,532.29,cellular,yes
77,retired,tertiary,1029.37,cellular,no
94,technician,secondary,202.38,cellular,no
62,unemployed,secondary,487.64,cellular,no
51,services,tertiary,806.22,cellular,no
62,services,secondary,799.7,cellular,no
78,unemployed,unknown,2756.89,unknown,no
33,admin.,secondary,3765.52,cellular,yes
83,management,primary,604.17,cellular,no
57,management,secondary,716.97,cellular,yes
34,services,secondary,1691.71,cellular,yes
51,housemaid,secondary,2698.65,cellular,no
33,blue-collar,unknown,5109.77,unknown,no
77,admin.,secondary,159.24,telephone,yes
83,blue-collar,tertiary,2177.54,cellular,yes
83,management,primary,2232.72,cellular,no
30,housemaid,tertiary,3416.33,cellular,yes
73,services,secondary,598.63,unknown,yes
48,management,unknown,4022.58,unknown,yes
51,management,primary,603.15,unknown,no
56,management,secondary,130.05,cellular,no
84,management,tertiary,3039.62,unknown,yes
25,technician,unknown,545.67,cellular,no
72,blue-collar,unknown,2178.35,cellular,no
44,management,secondary,2375.09,cellular,no
70,self-employed,primary,3646.09,unknown,yes
56,technician,secondary,944.97,unknown,no
82,blue-collar,secondary,744.24,unknown,yes
34,self-employed,secondary,525.63,unknown,no
47,blue-collar,secondary,1849.02,cellular,yes
70,entrepreneur,tertiary,3289.18,unknown,yes
30,blue-collar,tertiary,885.23,cellular,no
38,services,secondary,1345.24,cellular,no
36,retired,secondary,1320.69,cellular,yes
70,technician,secondary,363.11,unknown,no
36,management,unknown,1670.26,telephone,no
74,technician,primary,1933.45,cellular,yes
42,blue-collar,secondary,4032.73,cellular,yes
48,management,primary,2036.19,cellular,no
72,management,secondary,411.67,cellular,no
40,technician,tertiary,1158.78,cellular,no
49,student,unknown,2033.96,cellular,no
79,admin.,secondary,407.23,cellular,no
91,admin.,tertiary,4222.03,cellular,yes
27,technician,secondary,661.68,cellular,yes
89,student,secondary,1320.92,cellular,no
71,student,tertiary,4714.63,cellular,yes
69,blue-collar,unknown,1502.74,unknown,no
37,entrepreneur,secondary,1194.73,cellular,yes
49,technician,primary,2986.14,unknown,yes
31,student,primary,681.64,cellular,yes
67,technician,secondary,2971.3,cellular,yes
45,admin.,secondary,1181.69,telephone,no
70,admin.,tertiary,840.91,cellular,no
41,management,tertiary,8334.39,cellular,yes
39,blue-collar,secondary,3686.26,unknown,yes
47,services,unknown,1847.58,cellular,yes
80,student,tertiary,1493.79,cellular,no
21,management,secondary,1414.12,cellular,no
94,technician,tertiary,1319.05,cellular,no
76,management,secondary,2553.84,cellular,yes
25,blue-collar,secondary,3716.49,cellular,no
29,unemployed,primary,1183.37,cellular,no
48,management,primary,1236.3,unknown,no
51,management,secondary,2796.0,telephone,yes
92,technician,tertiary,210.81,cellular,no
93,retired,tertiary,4490.85,cellular,yes
66,student,secondary,1617.03,unknown,yes
74,admin.,secondary,3240.93,cellular,yes
43,entrepreneur,tertiary,2445.12,cellular,no
35,management,tertiary,3188.58,cellular,no
55,technician,secondary,1937.58,unknown,yes
67,self-employed,secondary,2789.58,cellular,no
25,management,secondary,602.42,telephone,no
58,services,secondary,2527.74,unknown,yes
23,technician,tertiary,458.36,cellular,no
86,technician,secondary,1513.04,unknown,yes
61,unemployed,secondary,603.53,cellular,yes
81,retired,primary,740.48,cellular,no
46,housemaid,secondary,271.25,cellular,no
45,technician,secondary,1844.08,unknown,yes
28,technician,unknown,803.21,unknown,no
82,admin.,tertiary,2227.0,cellular,no
36,management,tertiary,246.46,cellular,no
26,student,secondary,1278.32,cellular,yes
44,blue-collar,secondary,947.24,cellular,no
51,services,tertiary,1256.23,telephone,yes
61,entrepreneur,tertiary,849.04,unknown,yes
85,blue-collar,secondary,14430.12,unknown,yes
32,admin.,secondary,885.75,unknown,yes
68,blue-collar,primary,2316.22,cellular,yes
30,services,secondary,758.96,cellular,yes
66,technician,secondary,4249.6,cellular,yes
87,technician,secondary,1155.51,cellular,no
73,management,primary,5763.65,unknown,yes
93,management,primary,723.92,cellular,no
68,services,tertiary,680.55,unknown,yes
54,technician,secondary,2108.3,unknown,yes
34,blue-collar,secondary,1815.01,unknown,yes
75,student,secondary,220.16,cellular,no
46,blue-collar,tertiary,384.52,cellular,no
50,services,tertiary,4112.55,cellular,yes
77,technician,unknown,292.08,unknown,no
72,technician,secondary,1220.52,unknown,no
27,technician,tertiary,2404.15,cellular,yes
64,management,tertiary,1945.75,cellular,no
40,retired,secondary,338.49,unknown,no
38,blue-collar,secondary,1443.29,cellular,no
30,blue-collar,tertiary,334.16,telephone,no
50,services,unknown,2385.43,cellular,yes
41,services,secondary,1213.32,telephone,no
28,blue-collar,unknown,5802.6,cellular,yes
34,services,tertiary,333.15,cellular,no
85,technician,secondary,2888.06,cellular,yes
64,management,secondary,7377.05,unknown,yes
42,technician,secondary,953.16,cellular,no
90,admin.,secondary,2456.63,unknown,yes
38,unemployed,secondary,9046.22,cellular,no
29,unemployed,secondary,7655.5,telephone,yes
54,technician,unknown,876.75,cellular,no
59,admin.,tertiary,1311.29,cellular,yes
34,blue-collar,tertiary,3584.55,cellular,no
65,technician,secondary,82.11,cellular,no
45,management,secondary,1311.67,cellular,no
58,admin.,secondary,1042.44,cellular,yes
64,technician,primary,1248.53,unknown,yes
35,blue-collar,secondary,9212.39,cellular,yes
88,blue-collar,secondary,2333.21,cellular,no
30,technician,tertiary,959.7,cellular,no
30,services,tertiary,2911.63,cellular,no
48,technician,primary,1625.19,cellular,yes
19,admin.,secondary,3750.09,unknown,yes
33,student,secondary,727.9,cellular,no
26,blue-collar,tertiary,1630.6,unknown,yes
90,management,tertiary,591.02,cellular,yes
55,blue-collar,secondary,2182.82,cellular,yes
92,unemployed,secondary,694.08,unknown,no
71,blue-collar,tertiary,393.22,cellular,no
73,admin.,unknown,8910.67,cellular,yes
62,technician,tertiary,6053.25,cellular,yes
51,blue-collar,primary,2222.81,unknown,yes
26,management,tertiary,3774.22,cellular,yes
25,student,secondary,4379.75,telephone,no
24,blue-collar,secondary,2116.18,cellular,yes
53,self-employed,tertiary,1331.01,cellular,no
35,technician,secondary,3365.17,cellular,no
20,entrepreneur,tertiary,1420.44,cellular,no
45,services,tertiary,784.36,cellular,yes
87,student,unknown,1162.54,unknown,yes
61,technician,tertiary,2389.9,unknown,yes
38,management,secondary,5337.94,cellular,yes
45,blue-collar,secondary,1747.16,unknown,no
71,management,secondary,3276.64,unknown,no
71,management,primary,3595.4,cellular,yes
82,student,secondary,1682.36,cellular,yes
38,management,unknown,2790.99,cellular,yes
30,retired,unknown,3201.77,cellular,yes
74,admin.,tertiary,977.72,unknown,no
66,unemployed,secondary,4322.28,cellular,yes
71,retired,secondary,1507.21,cellular,no
27,management,secondary,3117.54,unknown,yes
70,admin.,secondary,751.23,cellular,no
61,management,secondary,2377.56,cellular,no
64,admin.,secondary,1127.23,cellular,yes
70,admin.,tertiary,1524.14,cellular,yes
91,retired,secondary,1129.45,unknown,no
63,technician,secondary,2777.85,cellular,yes
30,technician,tertiary,359.26,unknown,no
54,blue-collar,unknown,938.07,telephone,no
41,admin.,tertiary,1871.59,cellular,no
19,services,secondary,1527.37,cellular,no
31,technician,tertiary,1850.71,cellular,yes
27,management,tertiary,2268.13,cellular,yes
52,blue-collar,primary,4831.25,unknown,yes
42,blue-collar,secondary,4351.28,cellular,no
20,technician,primary,735.98,cellular,no
34,admin.,secondary,800.4,unknown,no
29,admin.,primary,1383.08,cellular,yes
71,management,secondary,392.87,cellular,no
41,self-employed,primary,815.21,cellular,yes
46,technician,unknown,5742.38,cellular,yes
60,technician,secondary,717.71,cellular,yes
42,admin.,unknown,3606.83,cellular,yes
77,retired,secondary,856.2,unknown,no
82,blue-collar,secondary,545.93,cellular,no
45,retired,secondary,5203.19,cellular,yes
33,entrepreneur,unknown,3525.22,cellular,yes
64,management,secondary,3771.03,cellular,yes
75,technician,tertiary,946.45,unknown,no
93,services,tertiary,437.45,cellular,no
44,blue-collar,unknown,295.81,cellular,no
70,retired,tertiary,552.07,cellular,no
59,management,secondary,2379.58,cellular,yes
76,blue-collar,secondary,3354.67,cellular,no
64,retired,secondary,6623.16,cellular,no
51,entrepreneur,tertiary,2924.57,unknown,no
54,management,secondary,3455.01,cellular,yes
23,blue-collar,secondary,1941.66,cellular,yes
24,technician,primary,2410.34,unknown,no
42,blue-collar,secondary,4426.62,cellular,no
50,housemaid,tertiary,1684.65,cellular,no
72,management,secondary,383.89,cellular,no
75,blue-collar,secondary,488.33,cellular,no
24,blue-collar,secondary,1489.37,cellular,no
74,admin.,secondary,659.57,cellular,no
29,management,primary,3899.4,cellular,no
33,technician,secondary,1512.88,cellular,no
60,self-employed,secondary,1840.87,cellular,no
94,blue-collar,tertiary,294.05,unknown,no
24,admin.,tertiary,1139.14,cellular,no
68,technician,tertiary,1195.33,cellular,no
90,management,unknown,4915.58,cellular,yes
49,services,tertiary,806.49,unknown,no
92,admin.,secondary,6254.65,unknown,yes
25,management,primary,2265.67,unknown,yes
89,management,tertiary,1975.93,unknown,yes
62,admin.,secondary,4074.43,unknown,no
76,blue-collar,secondary,8076.13,unknown,no
21,housemaid,secondary,1702.37,unknown,yes
84,blue-collar,secondary,2694.47,cellular,yes
46,blue-collar,secondary,339.54,telephone,no
46,technician,secondary,956.96,cellular,no
45,technician,primary,334.19,cellular,no
94,technician,primary,1822.72,cellular,no
61,blue-collar,tertiary,3039.75,unknown,yes
21,self-employed,primary,1980.54,cellular,yes
26,blue-collar,secondary,1695.91,cellular,no
22,entrepreneur,primary,1611.93,cellular,no
73,retired,tertiary,1140.03,unknown,yes
67,management,secondary,4577.72,cellular,yes
92,management,secondary,1378.02,unknown,no
32,admin.,secondary,2955.72,unknown,yes
49,admin.,secondary,7309.18,unknown,yes
45,blue-collar,secondary,1500.14,cellular,yes
39,management,secondary,2457.65,unknown,yes
34,management,secondary,1923.51,cellular,no
76,management,secondary,226.21,cellular,no
88,technician,unknown,2094.73,cellular,yes
74,management,secondary,3560.29,cellular,yes
43,management,secondary,2469.78,cellular,yes
42,management,tertiary,1141.46,cellular,no
27,blue-collar,primary,1693.24,cellular,no
62,management,secondary,3666.42,unknown,yes
28,retired,primary,2157.38,cellular,no
94,housemaid,secondary,3183.42,cellular,no
70,entrepreneur,secondary,733.21,cellular,no
89,housemaid,secondary,2049.03,cellular,no
85,technician,tertiary,2398.57,cellular,no
45,admin.,secondary,2491.15,cellular,yes
92,technician,tertiary,5480.17,cellular,no
82,technician,secondary,3246.22,cellular,no
66,housemaid,tertiary,621.55,cellular,no
64,retired,secondary,1751.88,cellular,no
69,admin.,secondary,2123.98,cellular,no
71,technician,tertiary,1083.18,unknown,no
77,technician,tertiary,3351.27,unknown,yes
74,retired,secondary,2050.52,cellular,no
64,blue-collar,primary,2057.58,cellular,yes
48,unemployed,tertiary,623.58,telephone,no
63,self-employed,secondary,1206.91,unknown,yes
43,technician,unknown,1143.12,cellular,no
22,services,tertiary,3836.53,cellular,yes
69,technician,secondary,1908.78,cellular,yes
92,services,secondary,242.58,unknown,no
71,housemaid,tertiary,986.43,cellular,yes
50,management,secondary,1111.04,cellular,no
67,blue-collar,secondary,2207.08,unknown,no
55,management,secondary,4835.4,unknown,yes
44,admin.,tertiary,1258.31,cellular,no
32,admin.,secondary,491.34,cellular,no
78,management,primary,658.66,unknown,no
38,blue-collar,secondary,553.24,cellular,no
63,technician,secondary,2271.94,unknown,no
86,blue-collar,tertiary,649.34,cellular,yes
23,blue-collar,tertiary,1250.4,unknown,yes
55,management,secondary,4275.24,cellular,yes
79,blue-collar,secondary,5580.53,cellular,yes
79,management,secondary,13182.52,cellular,yes
91,blue-collar,tertiary,4733.29,unknown,no
63,blue-collar,secondary,2134.98,cellular,no
30,student,tertiary,2729.31,cellular,yes
20,services,tertiary,2239.64,cellular,no
23,management,secondary,3576.53,unknown,yes
25,technician,secondary,4985.39,cellular,yes
61,technician,secondary,3676.14,cellular,yes
50,blue-collar,secondary,1081.98,cellular,no
92,housemaid,tertiary,1108.69,cellular,no
94,management,tertiary,3027.25,cellular,yes
67,technician,tertiary,2274.07,cellular,no
28,services,secondary,3496.06,unknown,yes
45,management,primary,2263.22,unknown,yes
87,services,secondary,1101.3,cellular,yes
58,technician,secondary,7004.28,cellular,yes
33,blue-collar,tertiary,568.26,unknown,no
85,admin.,primary,750.07,cellular,no
65,management,secondary,2481.5,unknown,yes
73,blue-collar,tertiary,2432.71,cellular,yes
81,technician,primary,986.87,cellular,no
76,retired,tertiary,1358.82,cellular,yes
79,blue-collar,secondary,553.28,cellular,no
93,blue-collar,primary,1521.48,telephone,no
28,management,tertiary,3428.88,unknown,yes
35,services,tertiary,2074.47,unknown,yes
36,unemployed,tertiary,1294.01,unknown,yes
72,blue-collar,unknown,2293.54,cellular,no
43,services,secondary,2042.5,cellular,yes
23,admin.,secondary,820.91,unknown,no
21,admin.,secondary,644.16,cellular,no
46,admin.,secondary,923.25,unknown,no
76,management,secondary,1005.72,unknown,no
34,admin.,tertiary,1185.99,cellular,no
60,services,secondary,7114.58,cellular,yes
83,blue-collar,tertiary,3952.79,unknown,no
51,services,primary,1439.9,cellular,no
25,blue-collar,secondary,123.46,cellular,yes
30,blue-collar,primary,1569.9,cellular,no
25,technician,secondary,1190.37,unknown,yes
82,blue-collar,primary,2121.11,telephone,no
60,blue-collar,primary,1158.38,cellular,no
56,management,secondary,4391.82,telephone,yes
76,technician,secondary,4414.99,cellular,no
61,management,secondary,1538.62,unknown,yes
26,unknown,primary,1154.61,cellular,yes
54,retired,primary,1535.21,cellular,no
91,technician,secondary,540.04,unknown,no
53,blue-collar,tertiary,4362.51,cellular,yes
45,management,secondary,1063.11,cellular,no
59,management,secondary,1946.59,cellular,yes
60,blue-collar,unknown,2549.53,cellular,yes
59,management,secondary,835.9,cellular,yes
83,blue-collar,primary,492.44,unknown,no
72,blue-collar,primary,1837.75,cellular,yes
89,retired,unknown,1807.68,cellular,yes
65,technician,secondary,1308.49,telephone,no
39,unemployed,secondary,1844.52,cellular,yes
44,self-employed,secondary,2486.49,unknown,yes
84,technician,tertiary,1086.34,cellular,no
30,management,tertiary,1372.54,cellular,yes
62,technician,secondary,6565.79,cellular,yes
27,blue-collar,tertiary,224.53,unknown,no
26,blue-collar,secondary,1009.38,unknown,no
71,technician,secondary,4420.85,cellular,no
44,entrepreneur,secondary,8269.83,cellular,yes
51,technician,secondary,2772.01,unknown,no
18,blue-collar,secondary,322.74,unknown,no
49,management,secondary,1328.62,unknown,no
88,services,primary,4832.72,cellular,yes
84,technician,tertiary,2750.83,cellular,no
37,technician,secondary,351.61,cellular,no
52,blue-collar,tertiary,484.03,cellular,no
34,management,tertiary,1162.79,cellular,no
35,technician,secondary,518.65,cellular,no
62,admin.,tertiary,1991.53,cellular,no
70,admin.,tertiary,2698.42,cellular,no
85,blue-collar,tertiary,2992.64,cellular,yes
82,blue-collar,tertiary,4030.03,telephone,yes
18,admin.,tertiary,3412.58,cellular,no
75,management,secondary,471.69,cellular,no
43,admin.,primary,1051.71,cellular,yes
37,housemaid,secondary,1292.39,cellular,no
27,housemaid,primary,2038.53,cellular,yes
76,blue-collar,secondary,3089.98,cellular,yes
92,unknown,secondary,939.51,cellular,no
58,blue-collar,tertiary,4468.24,cellular,no
22,blue-collar,secondary,3750.39,cellular,no
82,management,primary,1316.75,unknown,yes
34,services,secondary,733.49,cellular,yes
39,technician,tertiary,518.44,cellular,no
58,services,secondary,883.62,cellular,no
85,retired,secondary,1920.85,unknown,yes
86,technician,secondary,301.33,cellular,no
28,technician,tertiary,1962.34,cellular,no
73,management,tertiary,1989.26,cellular,yes
68,technician,tertiary,771.06,unknown,yes
38,management,unknown,2442.49,unknown,no
93,unknown,tertiary,2522.5,unknown,no
43,blue-collar,primary,2783.24,cellular,yes
36,blue-collar,secondary,575.22,unknown,yes
77,management,secondary,4295.66,unknown,yes
88,management,secondary,1878.42,cellular,no
64,technician,secondary,529.66,cellular,no
88,housemaid,tertiary,1732.54,cellular,no
43,technician,tertiary,853.16,unknown,no
57,admin.,tertiary,4114.72,cellular,yes
22,blue-collar,tertiary,1015.61,cellular,no
38,technician,unknown,1547.29,cellular,yes
21,management,primary,4603.97,cellular,yes
40,admin.,secondary,1507.71,cellular,no
32,technician,secondary,906.55,unknown,yes
25,technician,secondary,2774.48,cellular,yes
58,admin.,secondary,2891.36,cellular,yes
36,blue-collar,tertiary,1738.02,cellular,yes
63,unemployed,tertiary,3270.79,unknown,yes
45,management,secondary,1704.45,unknown,no
85,entrepreneur,tertiary,456.53,cellular,no
32,technician,tertiary,1991.42,cellular,no
54,services,secondary,3354.06,cellular,yes
18,technician,secondary,1120.68,cellular,yes
84,retired,primary,2619.23,cellular,yes
41,management,tertiary,5274.51,cellular,yes
44,retired,secondary,2126.98,cellular,yes
57,blue-collar,secondary,3915.77,unknown,no
80,management,secondary,2111.59,cellular,yes
78,retired,secondary,1723.15,cellular,yes
53,self-employed,primary,231.25,cellular,no
41,services,secondary,2258.46,cellular,no
41,services,secondary,1258.15,cellular,no
21,blue-collar,secondary,2249.77,telephone,no
84,retired,tertiary,3768.25,unknown,yes
51,technician,secondary,1709.23,cellular,yes
74,management,secondary,1495.5,cellular,yes
66,management,tertiary,891.22,cellular,yes
70,management,secondary,542.25,unknown,no
40,technician,secondary,3985.19,cellular,yes
86,unknown,secondary,475.59,cellular,no
70,blue-collar,tertiary,1258.71,cellular,yes
79,management,unknown,767.65,cellular,no
58,blue-collar,secondary,3182.21,cellular,no
74,housemaid,secondary,1139.71,unknown,no
77,technician,secondary,8682.22,cellular,no
71,technician,tertiary,4152.86,cellular,yes
87,management,tertiary,3103.19,cellular,no
74,blue-collar,tertiary,1470.14,unknown,yes
27,admin.,tertiary,923.67,unknown,yes
57,student,primary,406.08,cellular,no
24,management,primary,1237.73,cellular,yes
55,services,tertiary,2153.37,cellular,no
78,services,secondary,592.14,telephone,no
20,technician,secondary,1169.12,unknown,yes
68,blue-collar,tertiary,1613.56,cellular,no
64,self-employed,tertiary,455.26,cellular,no
85,management,tertiary,1183.64,cellular,no
93,self-employed,secondary,789.85,unknown,yes
55,blue-collar,tertiary,4552.77,unknown,yes
53,management,secondary,1456.84,cellular,no
58,blue-collar,tertiary,2128.09,telephone,yes
86,management,secondary,729.54,cellular,no
30,management,secondary,2945.02,cellular,yes
75,admin.,secondary,3913.94,unknown,yes
67,blue-collar,primary,2264.57,cellular,no
47,admin.,secondary,2062.63,unknown,yes
79,blue-collar,secondary,3783.62,unknown,yes
42,blue-collar,secondary,2261.22,cellular,yes
44,technician,tertiary,4392.94,cellular,yes
68,services,secondary,2405.69,unknown,no
74,management,unknown,1652.95,cellular,no
64,management,tertiary,4208.98,unknown,no
56,services,secondary,672.3,cellular,yes
33,management,tertiary,1928.73,unknown,no
39,services,secondary,5297.8,unknown,no
71,admin.,primary,761.49,unknown,yes
38,admin.,secondary,165.06,unknown,no
89,admin.,unknown,2168.2,cellular,no
33,blue-collar,tertiary,1078.28,cellular,yes
76,self-employed,primary,3215.96,telephone,no
48,management,secondary,356.52,cellular,no
59,management,secondary,2068.01,unknown,yes
91,technician,tertiary,896.6,cellular,no
49,management,tertiary,1483.03,cellular,yes
76,technician,secondary,3583.34,unknown,no
51,retired,secondary,3182.61,unknown,yes
26,self-employed,secondary,796.87,cellular,no
28,technician,tertiary,676.19,cellular,no
27,blue-collar,secondary,2121.72,cellular,no
34,admin.,secondary,3656.07,cellular,yes
85,management,secondary,2864.84,cellular,yes
65,admin.,secondary,2031.65,cellular,yes
69,services,secondary,613.59,unknown,no
42,technician,unknown,3278.52,telephone,yes
38,management,secondary,3116.77,cellular,yes
82,management,primary,1219.95,cellular,no
80,services,secondary,1932.65,cellular,yes
68,blue-collar,secondary,1584.85,cellular,no
53,housemaid,secondary,2931.81,cellular,no
83,management,tertiary,2569.19,cellular,yes
32,technician,tertiary,3005.99,cellular,no
56,technician,secondary,1372.95,cellular,yes
87,unemployed,secondary,1641.02,cellular,no
18,management,primary,3040.11,cellular,no
40,management,unknown,959.83,unknown,yes
56,technician,secondary,1227.17,unknown,no
74,management,tertiary,2365.54,cellular,yes
51,technician,secondary,4071.85,cellular,no
58,self-employed,secondary,982.03,cellular,yes
90,entrepreneur,secondary,780.21,cellular,yes
30,admin.,secondary,1715.41,unknown,yes
87,management,primary,776.86,cellular,no
23,technician,secondary,722.68,cellular,no
69,management,tertiary,1610.25,cellular,no
20,entrepreneur,primary,3610.38,cellular,no
80,management,secondary,2271.24,unknown,yes
66,services,secondary,695.61,unknown,no
93,technician,tertiary,4172.86,telephone,yes
64,blue-collar,secondary,3740.84,unknown,yes
72,retired,secondary,871.81,cellular,yes
81,management,secondary,1231.87,cellular,yes
82,technician,secondary,3767.76,unknown,yes
84,services,primary,5186.09,unknown,yes
32,self-employed,tertiary,2093.78,cellular,yes
49,management,secondary,345.84,cellular,no
85,management,tertiary,2782.73,cellular,yes
35,management,unknown,842.99,unknown,no
60,blue-collar,secondary,5059.41,cellular,yes
52,services,secondary,1751.61,unknown,no
75,technician,unknown,1256.37,cellular,yes
50,management,unknown,593.51,unknown,no
31,blue-collar,secondary,594.55,cellular,no
51,blue-collar,secondary,550.3,cellular,no
78,entrepreneur,secondary,1106.88,cellular,yes
21,management,secondary,2414.36,cellular,yes
76,admin.,tertiary,1523.27,cellular,no
46,self-employed,secondary,1819.53,cellular,yes
23,management,secondary,1922.35,unknown,no
66,retired,secondary,2722.45,unknown,no
57,blue-collar,unknown,5401.11,cellular,yes
82,management,secondary,1579.46,cellular,yes
86,technician,secondary,1570.82,cellular,no
44,blue-collar,unknown,222.37,cellular,no
23,blue-collar,tertiary,404.14,unknown,no
30,management,secondary,1838.03,cellular,no
81,management,secondary,4213.39,cellular,yes
79,admin.,secondary,2490.07,cellular,no
36,admin.,tertiary,1415.99,cellular,yes
93,services,secondary,629.53,cellular,no
60,services,secondary,4306.66,cellular,yes
91,self-employed,secondary,371.35,cellular,no
37,blue-collar,secondary,1233.35,cellular,yes
85,blue-collar,tertiary,693.29,telephone,no
61,management,secondary,10578.27,cellular,yes
40,technician,secondary,1010.71,unknown,no
19,student,primary,1229.77,cellular,no
39,management,tertiary,2458.43,cellular,no
74,admin.,secondary,1654.98,cellular,no
89,management,tertiary,3120.28,cellular,no
24,entrepreneur,secondary,1200.4,cellular,no
73,entrepreneur,tertiary,5680.19,cellular,yes
84,admin.,tertiary,2510.28,cellular,no
33,entrepreneur,tertiary,2395.77,cellular,yes
68,technician,tertiary,880.77,cellular,no
89,admin.,secondary,4142.88,cellular,no
29,unemployed,tertiary,2791.92,cellular,yes
70,entrepreneur,secondary,1762.68,unknown,no
92,management,secondary,2375.63,unknown,no
22,management,primary,1292.44,unknown,no
44,blue-collar,tertiary,1374.14,cellular,yes
29,blue-collar,unknown,755.01,cellular,no
34,housemaid,secondary,1464.37,unknown,no
23,management,secondary,212.99,cellular,no
22,self-employed,secondary,3253.37,unknown,yes
74,student,tertiary,2411.08,cellular,no
45,admin.,secondary,1580.9,cellular,yes
86,unemployed,secondary,1335.94,unknown,yes
76,management,secondary,3048.84,cellular,no
50,management,tertiary,2757.77,cellular,yes
79,retired,secondary,473.92,telephone,no
67,admin.,primary,2636.54,cellular,no
36,management,secondary,1801.16,cellular,no
86,entrepreneur,secondary,906.79,unknown,yes
83,technician,secondary,853.79,cellular,no
64,management,unknown,413.56,cellular,yes
56,self-employed,secondary,3266.32,cellular,yes
85,management,secondary,2366.5,cellular,yes
50,services,tertiary,1478.36,cellular,no
30,management,secondary,3332.7,cellular,yes
71,management,tertiary,1769.22,cellular,yes
24,retired,secondary,410.35,cellular,yes
31,blue-collar,secondary,1323.97,cellular,yes
36,management,secondary,300.98,cellular,no
71,blue-collar,secondary,1797.06,cellular,no
37,management,tertiary,1711.8,cellular,no
46,services,tertiary,624.85,cellular,no
41,blue-collar,tertiary,609.11,cellular,yes
80,blue-collar,primary,467.06,cellular,no
91,management,secondary,4759.06,cellular,no
74,admin.,secondary,2128.84,cellular,no
25,technician,tertiary,1768.63,cellular,yes
79,services,tertiary,1086.32,unknown,yes
46,services,secondary,3777.76,cellular,yes
91,blue-collar,tertiary,440.66,telephone,no
34,admin.,secondary,9791.35,telephone,yes
83,blue-collar,tertiary,2157.64,unknown,no
23,technician,primary,1584.07,cellular,yes
75,services,tertiary,3570.18,unknown,yes
86,management,secondary,1845.76,unknown,yes
45,technician,tertiary,654.68,unknown,no
79,entrepreneur,tertiary,658.51,cellular,no
58,admin.,secondary,1365.13,cellular,no
86,management,secondary,1253.48,cellular,yes
58,unemployed,unknown,2496.95,cellular,yes
66,retired,secondary,1546.84,cellular,no
66,services,secondary,3795.82,cellular,no
93,management,secondary,5268.37,cellular,yes
88,blue-collar,tertiary,348.2,unknown,no
20,student,primary,1969.31,cellular,yes
27,housemaid,tertiary,1482.79,cellular,no
52,services,secondary,3603.16,unknown,yes
19,student,tertiary,4923.64,cellular,no
41,admin.,tertiary,4269.94,unknown,yes
91,admin.,tertiary,1849.08,cellular,no
55,blue-collar,secondary,672.07,unknown,no
39,technician,tertiary,208.4,unknown,no
43,admin.,secondary,3753.93,unknown,yes
60,technician,secondary,1637.33,cellular,no
72,management,tertiary,257.74,unknown,no
56,blue-collar,unknown,2244.77,cellular,no
46,retired,secondary,2071.72,cellular,no
37,technician,unknown,271.63,unknown,no
58,management,secondary,3791.07,cellular,no
71,unknown,tertiary,1258.01,cellular,no
37,blue-collar,secondary,5970.14,unknown,yes
36,services,secondary,4857.33,cellular,yes
83,student,tertiary,595.18,unknown,no
47,blue-collar,tertiary,988.82,unknown,yes
70,admin.,tertiary,442.45,cellular,no
51,admin.,tertiary,6302.56,cellular,yes
39,technician,tertiary,1489.28,cellular,yes
84,blue-collar,primary,4152.38,cellular,no
23,technician,secondary,1045.2,cellular,yes
44,management,secondary,2190.81,cellular,yes
27,admin.,secondary,7390.62,unknown,yes
90,unknown,secondary,3495.54,telephone,yes
65,services,tertiary,197.2,cellular,no
87,housemaid,secondary,1403.55,cellular,no
76,self-employed,secondary,490.67,cellular,no
76,admin.,secondary,346.51,cellular,no
19,management,tertiary,791.07,cellular,no
46,admin.,secondary,644.84,unknown,no
85,housemaid,secondary,2759.48,cellular,yes
82,management,tertiary,1109.12,cellular,yes
